0,1,2,3
@SpeakerMcCarthy Your plan will put us in a recession.,2023-04-28 21:39:43+00:00,slumav505,"St. Louis, MO"
There will be no recession but there will be a depression https://t.co/8d2M2IDNqa,2023-04-28 21:36:57+00:00,DonaldPaul1960,"Palos Heights, IL"
"@RyanTHawks Me watching banks collapse, layoffs, global tensions, and recession fears as I go long in the energy se… https://t.co/aT8oJcLezQ",2023-04-28 21:36:32+00:00,Jgrimm87,Florida & Wyoming
"https://t.co/FXmONdhioi -   #youtube #market #stockmarket  Paul Kim, Simplify ETF CEO discusses how inflation could… https://t.co/nfxQogeo16",2023-04-28 21:25:48+00:00,twsp_com,United States
https://t.co/rMlZ1QCRMh -   #oil #youtube #stockmarket  Yahoo Finance Live discusses an increase in crude oil price… https://t.co/mw3AF04tmI,2023-04-28 21:25:34+00:00,twsp_com,United States
"Read the new Financial Forecast and get the full story behind this chart.

https://t.co/VO2seCx1rE

#Elliottwave… https://t.co/B4NnrY0zKk",2023-04-28 21:23:43+00:00,elliottwaveintl,"Gainesville, GA"
"@ZuzaZasada @WallStreetSilv Hundreds of banks collapsed in 2008, and again in 2020. This is a sign of a recession b… https://t.co/wAZGzYcAK5",2023-04-28 21:22:32+00:00,Sleaved_,United States
"@eifers1 @B82143748 @jnconkle Yes, the common factor is these are quality companies leading accross the sectors. Th… https://t.co/b7I5vBDCZT",2023-04-28 21:18:44+00:00,davevermilion,Minneapolis MN USA
"""The pop in prices over the 24 months that ended in March eroded wage gains, burdened consumers and spurred a Feder… https://t.co/mXSXKrZvFl",2023-04-28 21:11:21+00:00,MidWestMet,Illinois
💥WARNING💥 THIS IS BAD .......#elon #cryptonews #dogelonmars #recession https://t.co/W5re5XgqCN via @YouTube $elon $btc FOMC FUD  Whats next?,2023-04-28 21:05:40+00:00,soapgawdstv,United States
Pass The Mic - Which way to the recession?  FAANG seems to have gotten lost on the way https://t.co/0wK2ehUbhZ,2023-04-28 21:05:24+00:00,BrentLeary,"Stockbridge, GA"
The End of the SP500 Bear Market Rally | Recession Has Only JUST Begun t... https://t.co/9bV2SIfPmT via @YouTube,2023-04-28 21:03:49+00:00,LeverageMonkey,United States
How would you rate our country’s economic conditions? https://t.co/CGf7xeHDlk,2023-04-28 20:58:19+00:00,TND,United States
"@HUDgov @SecFudge @FannieMae @FreddieMac 

@SecYellen @federalreserve 
The 5/1/2023 credit score, interest rates ch… https://t.co/dYVCkJytVR",2023-04-28 20:57:19+00:00,JustbeReal7,United States
I can't help but think that some of the problem that First Republic Bank $FRC had were due to all the Chicken Littl… https://t.co/9crTTRyfq9,2023-04-28 20:56:42+00:00,totallyfearless,"Kansas City, MO"
"@MarioNawfal For a variety of reasons; but we all know more us banks are going to implode next couple months. 

Not… https://t.co/dOfHqxCio0",2023-04-28 20:55:32+00:00,kolindeshazox,United States
🤔... Food for thought. Is a recession the bull launch catalyst? https://t.co/rvqS0VpkdL,2023-04-28 20:54:42+00:00,zentrader1254,USA
@paulkrugman You are right. As usual.  There will be no 2023 recession.  And the US economy will boom in 2024.,2023-04-28 20:52:10+00:00,IGreymantle,United States
@dunnde @CarbonAcumen It’s been 2yrs &amp; I’m still not on your level.  I didn’t carry my LCFS manual today or stats b… https://t.co/eD4DKByiNt,2023-04-28 20:48:21+00:00,CSuiteOperator,Mid-America
"@kangaroos991 I’m going to vote for somebody, that voting against got us here in a recession, wwiii and insanity of… https://t.co/IbVze2kapm",2023-04-28 20:46:21+00:00,SchoolWrestling,"Columbus, OH"
"With terms like ""#freight recession"" being used by some industry experts to describe the current state of the… https://t.co/0lmKWapHr8",2023-04-28 20:45:14+00:00,BanyanTech,"Westlake, OH"
"Corporate Technology Under New Scrutiny Amid Recession Fears
for more finance updates visit our blog:… https://t.co/qF9IBolpYc",2023-04-28 20:39:39+00:00,finance_kart,united states
If members of the Federal Reserve had hoped that March's reading of household spending on goods and services would… https://t.co/ED8Ipf9RCP,2023-04-28 20:38:20+00:00,news5wcyb,"Bristol, VA"
#riskmanagement #America #economy #inflation #recession #stocks #bonds #equities #commodities #currencies #Metals… https://t.co/obYRXedT5r,2023-04-28 20:34:37+00:00,SiouxCityCrypto,"Sioux City, IA"
"#Bitcoin will end the business cycle of continuous transition from boom to bust.

With #Bitcoin we will never have a recession again.",2023-04-28 20:32:22+00:00,theworldonbtc,Ireland
"@johndoeshere @benwikler @NCDemParty @abreezeclayton Trump increased long term debt by 25 percent

Bush created two… https://t.co/zbaOB1qwdh",2023-04-28 20:31:45+00:00,JennyJaymesGunn,
$VIX is now under 16 going into JPOW with nothing to look forward to but stagflation or recession. Doesn’t seem lik… https://t.co/dlwXugUlXv,2023-04-28 20:31:39+00:00,jcashmoney9123,Wall Street
Inflation and Recession Forecasts Could Mean Stagflation is Back https://t.co/dy6SgQR42G #inflation #recession #stagflation,2023-04-28 20:29:33+00:00,GoldIRASecrets,USA
5 Tips For Growing Your Business During A Recession #PR #PRStrategy https://t.co/2blqLAVrcI,2023-04-28 20:29:12+00:00,AxiaPR,United States
@CClapClapital I've posted previously that I'll disclose it at the end of this economic cycle. Either once NBER has… https://t.co/5Lj4JoTkeQ,2023-04-28 20:28:46+00:00,zentrader1254,USA
What all the conflicting data says about a 'soft landing' for the economy—and what it doesn't… https://t.co/TZjPdT5YZS,2023-04-28 20:28:40+00:00,RadioBlackOn,"Indianapolis, IN"
@dampedspring @FriendlyBearSA @EPBResearch @BobEUnlimited @thecoderjohn @mikeharrisNY @pinebrookcap I'm not reading… https://t.co/jUSaQzPdUO,2023-04-28 20:26:10+00:00,JoeAtchley12,"Nashville, TN"
"@MatthewHyland_ Its funny how the News Media is telling retail ""recession doom"" meanwhile S&amp;P is reclaiming its lost territory",2023-04-28 20:25:10+00:00,KevinSvenson_,United States
"@RealKidPoker Unless you're rich considering we're in a bad recession with inflation, there's just no chance the av… https://t.co/p4Sn2HFmDx",2023-04-28 20:23:16+00:00,thedirtyhamhock,"Atlanta, GA"
"Recession makes billionaire to billionaires😂😂😂😂

90% of population will still be hard working and optimistic to bec… https://t.co/EYMNuNXJ6t",2023-04-28 20:22:10+00:00,vijaykumarthota,United States
Chief Economist (and optimist) John Norris is positive this week—positive that the Fed will hike rates again next w… https://t.co/9HAbNxzFcC,2023-04-28 20:20:56+00:00,OakworthCapital,"Birmingham, Alabama"
@Open_Markets The Effing recession that everyone sees is what is behind the rally. It will sink to new lows sometim… https://t.co/KtPrFBwekz,2023-04-28 20:19:42+00:00,damsden591,"Enon, Ohio"
Corporations lay off thousands as US economy heads toward recession https://t.co/f4r3TN1ne5,2023-04-28 20:19:27+00:00,iysseum,"Ann Arbor, MI"
Another great week on Wall Street...what recession? https://t.co/KJP8AGV2Ag,2023-04-28 20:17:44+00:00,SFTomahawk,"Texas, USA"
"1-Where the trucking &amp; rail recession is showing up in the economic data @CNBC 
Transportation,trucking &amp; railroad… https://t.co/8Elf3BQ5yO",2023-04-28 20:17:05+00:00,DanRDimicco,"Charlotte, NC"
"Our economy is crashing...not a recession. A crash.
https://t.co/NLTD7ROaaa",2023-04-28 20:15:52+00:00,Tomboy7000,"Huber Heights, OH"
"Are we getting into recession? No wait, we are in recession already, isn’t it? No wait, we are recovering, aren’t w… https://t.co/VRwt6Hh2Tl",2023-04-28 20:15:43+00:00,vijaykumarthota,United States
@dampedspring @thecoderjohn @FriendlyBearSA @JoeAtchley12 @EPBResearch @BobEUnlimited @pinebrookcap Will the market… https://t.co/g7BYMcsxrE,2023-04-28 20:14:46+00:00,mikeharrisNY,USA
"@DashDobrofsky The economy matters and Biden has put us in recession, record inflation, high fuel and grocery price… https://t.co/JydwhJ5WzC",2023-04-28 20:14:38+00:00,rehmann_l,"Illinois, USA"
@TonyRush @EricLevitz He literally mentioned Biden isn’t as popular as he was in 2020 either. He just had his worst… https://t.co/XlOJVH3U8m,2023-04-28 20:13:43+00:00,86rjt,USA
"@JoeBiden How many jobs did Lyft, 3M and Disney just cut? They are worried about tge lingering recession that you a… https://t.co/nSFNbYwQR1",2023-04-28 20:10:56+00:00,AloysiusScuttle,"St Louis, MO"
https://t.co/lmhOsIHCj3 -   #youtube  #inflation #YahooFinance #recession #bitcoin #Biden #Stockmarket #coronavirus… https://t.co/yGC5Gwq7WA,2023-04-28 20:10:26+00:00,twsp_com,United States
https://t.co/VosGHhR8lu -   #stocks #inflation #YahooFinance #recession #bitcoin #Biden #Stockmarket #coronavirus… https://t.co/C7wv34mxpq,2023-04-28 20:10:18+00:00,twsp_com,United States
"@HandibodeJ @thehill @JoeBiden Stolen elections have consequences 

💢inflation 
💢high gas prices 
💢proxy wars in Uk… https://t.co/9suQGKMqmq",2023-04-28 19:59:18+00:00,lelandaustin94,"Charlotte, NC"
"💥WARNING💥 THIS IS BAD .......#elon #cryptonews #dogelonmars #recession https://t.co/W5re5XgqCN via @YouTube FOMC , FLOKI",2023-04-28 19:59:14+00:00,soapgawdstv,United States
"@seanmack1025 @thehill @JoeBiden Stolen elections have consequences 

💢inflation 
💢high gas prices 
💢proxy wars in… https://t.co/0SjYHmB3sj",2023-04-28 19:59:05+00:00,lelandaustin94,"Charlotte, NC"
"@conk_mary @thehill @JoeBiden Stolen elections have consequences 

💢inflation 
💢high gas prices 
💢proxy wars in Ukr… https://t.co/kIPWnuMK3R",2023-04-28 19:58:53+00:00,lelandaustin94,"Charlotte, NC"
"@mskarenkory @thehill @JoeBiden Stolen elections have consequences 

💢inflation 
💢high gas prices 
💢proxy wars in U… https://t.co/VG8uymrTaB",2023-04-28 19:58:39+00:00,lelandaustin94,"Charlotte, NC"
Keep selling please 🙏. I paid everything off for the coming recession.. come payday you that are selling are going… https://t.co/zOOSi2GL4z,2023-04-28 19:58:36+00:00,CountyCrypto777,United States
@RepStefanik Republicans are root of the recession that’s 100 TRUE!!  Stop lying Betch!,2023-04-28 19:53:56+00:00,andeenoypi,"Chicago, IL"
"@hkuppy There’s a high chance of an oil driven recession. Maybe that’s what they’re waiting for.

Second phase of h… https://t.co/CtCngYACD6",2023-04-28 19:51:30+00:00,judydog12,USA
Corporate Technology Under New Scrutiny Amid Recession Fears https://t.co/Mlsh5yStjz,2023-04-28 19:50:07+00:00,SeeTheMacro,USA
Not in a recession yet. Some companies still out performing. https://t.co/SxYlO5qOSA,2023-04-28 19:49:32+00:00,TraceyRyniec,"Chicago, IL"
@POTUS Bidenomics isn’t working.. every country is ditching the US dollar because of your foreign policy and you ar… https://t.co/JXwgStM4jb,2023-04-28 19:47:09+00:00,lelandaustin94,"Charlotte, NC"
"@democracyornot @DougWahl1 It wouldn't be a recession at that point. It would be a major depression, an economic me… https://t.co/G07Us7FyOe",2023-04-28 19:45:05+00:00,IlluminatingABM,"Ashtabula, OH"
@FireBidenNow @ic_lib @emilio97493490 @drmkry @fischerfischy @cbeckj @pawley_robert @starkicus @swords_mr… https://t.co/grHBpoavsm,2023-04-28 19:44:27+00:00,DelusionsMass,United States
"@Melon_Trades It's not when everyone is looking for a recession that makes me nervous, it's when everyone is lookin… https://t.co/7MDejdrzci",2023-04-28 19:42:52+00:00,suitedupwook,Lot
"@Melon_Trades Yep. ""The recession is coming"" is about as consensus and played out a view as I've ever seen",2023-04-28 19:41:10+00:00,suitedupwook,Lot
@SenRickScott @JoeBiden Your plan will send us spiraling into recession. You don't care! You want to blame it on De… https://t.co/grUjJHOxr6,2023-04-28 19:32:53+00:00,pvossen,Nebraska
"People are spending more on gas and housing, and less on just about everything else. 

Consumer spending has been o… https://t.co/KOL76d5PUP",2023-04-28 19:30:48+00:00,Investopedia,United States
Newly released data shows the U.S. economy is continuing to cool but has remained in positive territory. https://t.co/kMZ9hSZ3Qv,2023-04-28 19:30:00+00:00,WLOS_13,"Asheville, NC"
"“… a rolling recession has been happening to different sectors of the economy, and could support a soft landing, wh… https://t.co/CKAfJJzTsV",2023-04-28 19:28:11+00:00,Clagett,United States
@TheDemocrats BS it is not working! Inflation for over 2 years and recession coming!,2023-04-28 19:26:11+00:00,tchhunt2017,TEXAS
@itsJeffTiedrich Holy fucking shit! Like the democrats did while Trump was in office? Every fucking day telling us… https://t.co/QXjjLXiH5Z,2023-04-28 19:20:52+00:00,sneakfreak63,USA
@POTUS POTUS ... This is a false statement .  Why are we in a recession now?,2023-04-28 19:16:35+00:00,ChrisWheelers, USA
https://t.co/yG7J6SNGjm -   #stocks #inflation #YahooFinance #recession #bitcoin #Biden #Stockmarket #coronavirus… https://t.co/ji6nrR6n82,2023-04-28 19:15:37+00:00,twsp_com,United States
"@MrJonCryer Biden has 0 accomplishments except: 
-Complete open borders
-Record city crime
-Surging inflation (high… https://t.co/qpzt7LVLzU",2023-04-28 19:14:20+00:00,Ira_USAstrong,"New York Metro, USA"
Silicon Valley Bank's Shut Down Stokes Financial Trauma of 08' Recession #PFshare via @RahkimSabree https://t.co/s3U9LLpDXQ,2023-04-28 19:14:06+00:00,financialducks,"New Berlin, Illinois"
Blow for Biden as US economy slows sharply and recession threat grows https://t.co/oESLcpt1Ch via @YahooFinance,2023-04-28 19:12:27+00:00,USAgenda22,USA
Used AutoGPT to analyze a bunch of publicly available economic data on Fred to forecast whether we get a recession… https://t.co/Wm65yjUQSK,2023-04-28 19:10:46+00:00,JoeCarlasare,"Illinois, USA"
@EricLevitz lol https://t.co/uOw6mWveNx,2023-04-28 19:04:42+00:00,Mypes45,"Springfield, USA"
@gregory_gard @VernonForGA Woodrow Wilson Won WW I.  Started League of Nations became United Nations &amp; more. FDR=So… https://t.co/OEr6re2aMw,2023-04-28 19:03:29+00:00,MarkPalid,United States
"@ilovehiphop_88 Extinction Level Event
The Recession",2023-04-28 19:00:09+00:00,Stankenstein,Metro Detroit
Resuming student loan payments during a time of a recession is absurd. I look forward to this blowing up in their f… https://t.co/nRms1Dv9vb,2023-04-28 19:00:07+00:00,thecindynoir,Texas
All eyes are on the FOMC as they navigate this delicate balancing act to ensure the stability of the U.S. economy w… https://t.co/yRTiVMipBY,2023-04-28 19:00:02+00:00,MarketBeatCom,"Sioux Falls, SD"
@CryptoParadyme recession indicator,2023-04-28 18:58:36+00:00,LoboRonin7,"Texas, USA"
@TheDemocrats https://t.co/xgkWuENLn2,2023-04-28 18:58:16+00:00,PoliticalHut,United States
"""Fewer fry sales aren’t the only thing plaguing McDonald’s. The fast food joint is also experiencing a funk with it… https://t.co/M3hdxCNIDA",2023-04-28 18:58:13+00:00,vchunoo,"Urbana, IL"
@conorsen I think we should work on beating Australia’s 29-year recession-free run. The Great Plague ended the part… https://t.co/TZF0RYeZZd,2023-04-28 18:58:08+00:00,StevePrediletto,"Brookhaven, GA"
"The demand anomalies (all lower) have been staggering for corn in 2022, soybean meal over the last 6 months, and co… https://t.co/qCHHGP3PJ8",2023-04-28 18:56:57+00:00,Easynewz,United States
"@nwtSwaps4CL @LukeGromen @ces921 And FFR back down to 2.5% likely implies recession, which is decrease in supply of… https://t.co/5w0CPI941o",2023-04-28 18:55:51+00:00,Steve_Mosner,"St Paul, MN"
@JackPosobiec They have been holding off saying we are in a recession for 3 years now and they will continue to hol… https://t.co/r4VH2LEjoj,2023-04-28 18:55:13+00:00,TheRealTFoote,United States
"Asking ""where the hoes at"" is like asking ""where the tape worms at"" in a recession.",2023-04-28 18:54:55+00:00,DmehnizeXlo,"Detroit, MI"
"I would ALMOST take Janet Yellen back!

#FridayFunny #Fed #EndTheFed #Powell #FiscalInsanity #Inflation #Money… https://t.co/YwbytL2sQZ",2023-04-28 18:50:18+00:00,WFreedomnexus,"Marshall, MN"
@Rep_Stansbury @OversightDems LOL!  How many things did you fudge to get THAT?  Are we in a recession?  Answer that.,2023-04-28 18:47:43+00:00,GershonManda,Alaska
"@mothafucckanic @quickzcopingHD @JoeBiden Now?
In a recession, economy crashing, U.S. dollar losing global reserve… https://t.co/TwGjtxGT6w",2023-04-28 18:47:23+00:00,mattchoobob,"Kansas City, MO"
"like we headed into a recession, there’s nothing we can do😭",2023-04-28 18:43:14+00:00,ITSBCHRIS,"atlanta, ga"
https://t.co/NeucPQQYlE,2023-04-28 18:31:53+00:00,LElkan,United States
@InsideWithPsaki @jrpsaki @TheBeatWithAri We're broke. The Democrats want to tax their way out of this. Won't work… https://t.co/MjjkuqinEt,2023-04-28 18:29:24+00:00,MarkusDude1000,East Tennessee
@POTUS We had a good economy before you took office and just like Obama we are heading into another recession banks… https://t.co/cS88kWIJBR,2023-04-28 18:23:55+00:00,soupbone2013,peru indiana
@POTUS @HouseDemocrats @SenateDems time to rein in #JeromePowell a #TrumpHumper who is hell bent on causing a reces… https://t.co/VZCfO0jqN3,2023-04-28 18:22:16+00:00,cindermis,"West Springfield, PA"
"Capital One Expects Recession By Year-End, Hammered By Bad Debt Provisions https://t.co/yHwyZVvQ1L",2023-04-28 18:20:37+00:00,UsBurning,"Atlanta, GA"
"@quymacorn Recession. I love DoorDash, just can't afford it.",2023-04-28 18:19:46+00:00,redchessqueen99,The Moon
"There are a lot of really bad things happening in the economy right now, but we aren't technically in a recession b… https://t.co/mnASDBokOu",2023-04-28 18:19:13+00:00,leorabbit49,"Charlotte, NC"
@valehnazemoff of Engage 2 Engage explains that outsourcing is a great way to meet internal #responsibilities while… https://t.co/Rvn8vqAlip,2023-04-28 18:15:07+00:00,HRDailyAdvisor,"Brentwood, TN"
"As you watch stocks REFUSE to go down, remember one thing: stocks are the BEST inflation hedge. Full stop. Inflatio… https://t.co/9YB86K981g",2023-04-28 18:10:15+00:00,stealthebasis,"Chicago, IL"
"Interesting that @Twitter is offering subscriptions to some accounts including @elonmusk. What exclusive content?
T… https://t.co/0LS1mpptSH",2023-04-28 18:09:30+00:00,Callicarpa4evR, USA
"Blackrock CEO Expects Inflation to Persist, but No Major US Recession in 2023 https://t.co/23kRWvcrvn",2023-04-28 18:08:11+00:00,cryptonewz_io,"Lenexa, KS"
Crude prices up 2% on rising U.S. oil demand and lower output https://t.co/Fe0ladG8XZ,2023-04-28 17:58:08+00:00,EnergyPhilFlynn,"Chicago, IL"
America has been in a recession. The economy is not great. Inflation is through the roof. We no longer have a press… https://t.co/cnFLAPX9AR,2023-04-28 17:57:10+00:00,JamieRJN,TEXAS
We're already living in a recession have been for awhile now. 🤷‍♂️🤦‍♂️ https://t.co/yHBfGzh2xl,2023-04-28 17:55:39+00:00,couldcareless12,United States
"📣📣📣📣📣📣

Hear ye, hear ye!

$PBF
$VTNR
$DK

…and everything O&amp;G that has been getting smashed on the false narrative… https://t.co/EbQtX4jeiG",2023-04-28 17:54:24+00:00,CSuiteOperator,Mid-America
@DCLSDS @lionel_trolling A regular recession would not nearly allow Trump to overcome his extremely bad public opin… https://t.co/uSIxxtwFb4,2023-04-28 17:54:16+00:00,fluffynuffy1,Chicago
@fluffynuffy1 @lionel_trolling So... He'll win. The house GOP are publicly plotting to force a government shutdown and recession.,2023-04-28 17:50:49+00:00,DCLSDS,United States
"@MarshaBlackburn JUST IN: Analysis by Mark Zandi of Moody's Analytics says Kevin McCarthy's spending-cut plan ""woul… https://t.co/g5Rl1w37Zo",2023-04-28 17:48:29+00:00,ChucksTravelers,"Evanston, IL"
"View this email in your browser.   

CEO Daily

Presented by Deloitte

April 28, 2023

""The most [GQP] predicted re… https://t.co/edqyZYeab1",2023-04-28 17:48:27+00:00,KrauseForIowa,Iowa
Fed called for a soft landing in 2007…right before everything tanked. Same call being made in 2023 with 3/4 of the… https://t.co/9HnbPh0vPa,2023-04-28 17:46:45+00:00,ObserverDrift,"Minneapolis, MN"
"But, but, but I was told it was us continuing to spend money? 🤔 https://t.co/BLQ9qoJlcB",2023-04-28 17:42:13+00:00,IAmIronManSon,United States
"@KSLcom Don't worry - as long as a Democrat president is in office, we will never be in a recession.  They will jus… https://t.co/g4ERADpqoR",2023-04-28 17:39:16+00:00,GomerPyle33,USA
Inflation is looking sticky. Consumers are saving more and holding spending in check as gains in services offset de… https://t.co/JVnSDYQm38,2023-04-28 17:38:17+00:00,KNyeEcon,"Chicago, IL  USA"
"Women play the game of life on easy mode. 

Free AudioBook: 👇 Become High Value in a Recession.… https://t.co/2I0TpNgwcm",2023-04-28 17:37:24+00:00,RoyalRacham,United States
When economist revisit market history. 1st and 2nd quarter of 2022 will be called a recession.  Just a guess.,2023-04-28 17:36:17+00:00,mon561,US
The End of the SP500 Bear Market Rally | Recession Has Only JUST Begun t... https://t.co/lM4pJKW9ye via @YouTube,2023-04-28 17:35:52+00:00,LordCoin,Sweden
https://t.co/p1LfBiy8h5,2023-04-28 17:29:07+00:00,ChipMunn1,"Cranberry Twp, PA"
"@POTUS Why are we rebuilding America?  Oh, I forgot you’ve destroyed it the past three years. (Record high inflatio… https://t.co/Wjcp3kBeGL",2023-04-28 17:27:48+00:00,ptljet,United States
The End of the SP500 Bear Market Rally | Recession Has Only JUST Begun to Get Priced In. https://t.co/vDWw7Mibuk… https://t.co/NE9XmdNkau,2023-04-28 17:26:33+00:00,davidmoadel,USA
@JackPosobiec We are already in a recession!,2023-04-28 17:26:16+00:00,sweetness420002,America
The CBOE is still alive and Kicking !!  #options #cboe #stockmarket #money #stocks #market #hedgefunds https://t.co/XggDQJSj92,2023-04-28 17:23:48+00:00,leoventuresllc,"Chicago, IL"
"Longstory short, the crisis of, &amp; blame for, GA's recession unpreparedness falls in GA lawmakers' lap. Until we ack… https://t.co/vt4SF0T2GF",2023-04-28 17:19:44+00:00,KhalfaniRay,"Atlanta, GA"
"Yes, we should be worried that GA isn't ready for a recession. But what have we done about it? Passing SB 160, offe… https://t.co/Y4qdaUBFgF",2023-04-28 17:19:41+00:00,KhalfaniRay,"Atlanta, GA"
Fed chair admits recession is 'likely' in leaked call | The Post Millennial | https://t.co/3C26xZ5DnI https://t.co/geQGopv1KH,2023-04-28 17:16:45+00:00,1791IowaPatriot,United States
"Be sure to check out this neat website called @thetakeout for finger-licking food-related news, tips, and reviews.
https://t.co/RxveINb9Nq",2023-04-28 17:12:57+00:00,ShinEyeZehUhh,"Chicago, IL"
"@LaureGonlezamar Pas besoin d’une récession… supprimons le cash et lançons les devises numériques, ça fera le job …… https://t.co/boDuO5Okj8",2023-04-28 17:12:26+00:00,DTH1420,Belgique
"LVMH Billionaire Bernard Arnault Says He’s Confident About US Economy, At Star-Studded Tiffany Event: French billio… https://t.co/Z14rE5RwKx",2023-04-28 17:11:34+00:00,RAntoshak,"Nashville, TN  USA"
Fed chair admits recession is likely in leaked call... https://t.co/c31y2kSG7D #fed #chair #admits #recession #is #likely #in #leaked #call,2023-04-28 17:08:48+00:00,AnyPollApp,United States
LOL the recession is already here but ok....and I love how they control the media and what you read and here but th… https://t.co/kRt8XHC66z,2023-04-28 17:07:43+00:00,RedpillSentinel,"Shelby County,Tn"
@RnaudBertrand to a recession bordering on depression based on warning signs in banking.,2023-04-28 17:05:59+00:00,shrewst,United States
"@lxeagle17 It's controversial because they've been pushing the same deranged ""impending recession"" for the last yea… https://t.co/9d0ipN65ju",2023-04-28 17:05:31+00:00,Econl148,Texas
"Just had a factory owner call me saying they had a terrible month and was looking for orders from me,  just had a c… https://t.co/RlvuyIVEfK",2023-04-28 17:04:48+00:00,BolognaBudz,
The economy feels banking panic's aftershocks. Watch Fed's Sr. Loan Officer Survey (May 8) for credit updates. Lend… https://t.co/uHLvucvTdZ,2023-04-28 17:04:34+00:00,LPTrustCo,"Neenah, WI"
@gatewaypundit 4/2/23: #RECESSION / #DEPRESSION Big Stores &amp; #Businesses #CLOSING. #Massive #LAYOFFS from Big Techs… https://t.co/XNynBj6qnD,2023-04-28 17:04:21+00:00,rkpc2022,"Kennesaw, GA"
"In February 2020, the COVID 19 pandemic officially pushed the U.S. economy into one of the deepest recessions to da… https://t.co/RrmtN85iNk",2023-04-28 17:02:06+00:00,BDO_USA,"Chicago, IL"
"Literally, two years of consistent job growth, record low unemployment, &amp; average real income higher than pre-COVID… https://t.co/Gest3Cac3H",2023-04-28 17:02:00+00:00,mcopelov,"Madison, WI"
"“We are distributing essentially the same volume of food as we did during the height of the pandemic."" Food banks a… https://t.co/DQBD3bd6Nw",2023-04-28 17:00:32+00:00,JustHarvest,"Pittsburgh, PA"
you can tell that we’re in an editing recession when 2017-2018 audios pop up https://t.co/JFy3wlde5l,2023-04-28 16:59:38+00:00,WanderMaximoff,any 
"@DarkBrandon666 @CraftistThe @500tulips @ctangs20 @FransRehl @POTUS According to this tool, we were still in a rece… https://t.co/Sep1HuMMZu",2023-04-28 16:59:03+00:00,avataylor02,Texas
"What's interesting is that consumer sentiment is down.

Though what's driving that is future expectations rather th… https://t.co/Cxd6eR7rGM",2023-04-28 16:55:18+00:00,sonusvarghese,Chicago
"@RyanDetrick and I talked about how strong employment, and real income growth, are powering consumption on our podc… https://t.co/gz2RBSplug",2023-04-28 16:55:18+00:00,sonusvarghese,Chicago
"@JackPosobiec What's the definition of ""recession"" now?",2023-04-28 16:54:48+00:00,RetroReplay1980,"Cincinnati, OH"
Last time I got bribed with cute monkeys to RT someones game. That didn't happen this time. I guess the recession h… https://t.co/9of2KIy9gR,2023-04-28 16:54:09+00:00,strateture,Sweden
https://t.co/DRHHI6z8Ar,2023-04-28 16:53:15+00:00,TerriLynch78,"Clemson, SC"
"@POTUS Liar. Propaganda.  GDP is only 1.1%. 
Headed for a recession much less the inflation. 
Please resign.",2023-04-28 16:53:12+00:00,kajincint,South Coast USA
@DecodingFoxNews Record inflation and we will be in a bad recession his usless “legislation” will be meaningless …… https://t.co/GT343YDZHQ,2023-04-28 16:52:54+00:00,SecondWind2019,"Ohio, USA"
Inflation is looking sticky. Consumers are saving more and holding spending in check as gains in services offset de… https://t.co/XsJ1MuoNTD,2023-04-28 16:51:14+00:00,cakers74,"Mooresville, NC"
"@JackPosobiec It has already been here, they decided it was ok to change the definition of a recession.  Everyone k… https://t.co/92pwWm9yeo",2023-04-28 16:50:12+00:00,D_A_76,USA
@rangar_trim @joncoopertweets We were in a recession when we had two consecutive quarters of negative economic growth!,2023-04-28 16:49:31+00:00,AnthonyStirlin,"Beloit, WI"
@chestnutmare79 @JackPosobiec Inflation not recession.,2023-04-28 16:49:26+00:00,EricHallman1,United States
@TomHuckleberry4 @GameofTrades_ Markets priced in a recession too early and now it’s reversing right before the actual recession starts lol,2023-04-28 16:48:52+00:00,Patr1ckBlackler,United States
About That Recession: An Economic Outlook https://t.co/oWZTXl0HOH #MergersampAcquisitions Read more ⬇️,2023-04-28 16:45:05+00:00,CSPDailyNews,"Chicago, IL"
@JackPosobiec Depression** Not Recession,2023-04-28 16:44:07+00:00,Honkamoto1775,United States
@JackPosobiec So now stagflation has been redefined as recession. GTK.,2023-04-28 16:44:07+00:00,DPerdo89,Texas
@ajlamesa Get a sense this is because Democrats did better in midterms. Just think talking about Trump and Dobbs ba… https://t.co/wQQ8TRjMDE,2023-04-28 16:43:58+00:00,imperialmog,"Union, MO"
@TheDemocrats With record inflation and out of control spending by democrats Biden is driving America into a recession,2023-04-28 16:42:21+00:00,donfaircloth3,United States
"Results of this week's major global economic events. 
#economics #stockmarkets #StockMarket #StockMarketindia… https://t.co/lINCtE1hdU",2023-04-28 16:42:09+00:00,ebi_harish,"Coimbatore, TN, India"
@wtpBLUE Don't let the #GOP give another raise to their wealthy donors. We can recover from a recession but this ol… https://t.co/J3TpmqEiJe,2023-04-28 16:39:53+00:00,ekww11,United States
just had the most random craving for canned ravioli … recession is in the air,2023-04-28 16:39:15+00:00,dezitrondeluxe,"Cleveland, OH"
https://t.co/r1Luz8luzL,2023-04-28 16:39:01+00:00,financial_white,USA
@SpecialPuppy1 @mattyglesias Because it was a recession? We are not currently in a recession though...,2023-04-28 16:38:57+00:00,danpolovina,"detroit, mi"
@JonoFrom @freddiesayers @Policy_Exchange @unherd Nope. It was the withdrawal from Afghanistan that made Putin thin… https://t.co/rwWnjkfQ40,2023-04-28 16:38:34+00:00,louisxix_,Ireland
